loss	acc	val_loss	val_acc
1.7443	0.4605	1.5453	0.5113
1.5643	0.5173	1.5414	0.4922
1.4913	0.5352	1.4689	0.5383
1.4441	0.5617	1.4823	0.5128
1.4041	0.5700	1.4103	0.5643
1.3675	0.5816	1.3899	0.5588
1.3404	0.5864	1.4006	0.5678
1.3078	0.5991	1.3658	0.5783
1.2741	0.6104	1.3494	0.5943
1.2491	0.6180	1.3491	0.6068
1.2209	0.6223	1.3280	0.6038
1.1912	0.6323	1.3451	0.6138
1.1643	0.6403	1.3330	0.5978
	
