loss	acc	val_loss	val_acc
1.7917	0.4527	1.6278	0.5158
1.5688	0.5162	1.7419	0.4572
1.4950	0.5362	1.5513	0.5113
1.4208	0.5604	1.4722	0.5538
1.3714	0.5774	1.5136	0.5298
1.3339	0.5791	1.4395	0.5598
1.2912	0.6065	1.5766	0.5273
1.2544	0.6085	1.3683	0.5643
1.2222	0.6145	1.3833	0.5803
1.1751	0.6336	1.4270	0.5853
