loss	acc	val_loss	val_acc
1.9227 	0.3997 	1.7157 	0.4642
1.7093 	0.4710 	1.6250 	0.5083
1.6251 	0.4939 	1.5955 	0.5138
1.5637 	0.5192 	1.5486 	0.5333
1.5008 	0.5365 	1.5230 	0.5293
1.4620 	0.5513 	1.4413 	0.5648
1.4108 	0.5664 	1.4406 	0.5713
1.3773 	0.5794 	1.4268 	0.5678
1.3325 	0.5907 	1.4293 	0.5683
1.3010 	0.6061 	1.4142 	0.5813
1.2706 	0.6095 	1.3734 	0.5908
1.2366 	0.6211 	1.3998 	0.5773
1.2129 	0.6314 	1.3871 	0.5978
